coffee_name,count,mean,std,min,max
Americano with Milk,809,30.59470951792336,1.883842632830092,27.92,33.8
Latte,757,35.50237780713342,1.8218342550408269,32.82,38.7
Americano,564,25.97563829787234,1.6760992894475646,23.02,28.9
Cappuccino,486,35.883004115226335,1.8192319745713226,32.82,38.7
Cortado,287,25.73121951219512,2.0936690058821092,23.02,28.9
Hot Chocolate,276,35.990797101449274,1.4374991220711117,32.82,38.7
Cocoa,239,35.65338912133891,1.2336928829579052,32.82,38.7
Espresso,129,20.854883720930232,1.974016019232377,18.12,24.0
